Ind	hours	Depth	vedba	odba	jerk	buzz
Asgeir	1	58.2411906583207	NA	NA	NA	0
Asgeir	2	60.1086985212055	0.0904241115477055	0.134488378226004	3.35147668517229	0
Asgeir	3	49.9416031669889	0.0770249142152712	0.114405077653295	2.53971411192664	0
Asgeir	4	58.7886822303418	0.0754824782405458	0.112458435951132	2.48251291368572	0
Asgeir	5	37.2659780703862	0.0841315382441891	0.12534628450187	3.28498097521998	0
Asgeir	6	35.0833349716249	0.092546957236326	0.138827599966891	3.49791626679168	0
Asgeir	7	24.8399239836029	0.0927617784960905	0.139006362217069	3.70481057602106	0
Asgeir	8	24.8334829328888	0.0660519785599966	0.0994957082071865	2.23569552294737	0
Asgeir	9	59.153713639061	0.074515564355758	0.111611675827196	2.43246267540775	0
Asgeir	10	125.358380265548	0.0871224410349943	0.130241524802451	2.8080508092854	0.0177777777777778
Asgeir	11	199.278584445884	0.0752000066470409	0.111697666482456	2.39666998436025	0.00416666666666667
Asgeir	12	128.444544779307	0.0715738608328043	0.106886071217189	2.1300641802721	0.00194444444444444
Asgeir	13	2.60335203527639	0.0730440492175698	0.109290107166897	2.24002315040148	0
Asgeir	14	37.3053728854539	0.0690638982207192	0.103244171626558	2.16558255950821	0
Asgeir	15	86.572405031583	0.0790019095045505	0.117982726348539	2.33673254828716	0.0102777777777778
Asgeir	16	127.038751094485	0.0896984163882739	0.133453327380205	2.88118554832198	0.0441666666666667
Asgeir	17	70.2662378169234	0.0840865890296789	0.125366959601154	2.92130797394278	0.0113888888888889
Asgeir	18	33.6510582589972	0.0849121047947267	0.127584485194173	3.16570637344181	0.0130555555555556
Asgeir	19	97.7978966812782	0.081185374660943	0.121418447778864	2.70267985591546	0.0505555555555555
Asgeir	20	85.634424038875	0.0759032387438146	0.113900023744847	2.72171851832225	0.00194444444444445
Asgeir	21	140.304136006073	0.073644049060196	0.110119163416016	2.71476668961692	0.0125
Asgeir	22	178.896227773964	0.072865357511388	0.109008377605997	2.41068600134941	0.0277777777777778
Asgeir	23	156.076429837903	0.0698353295840332	0.104504701937418	2.25536296658763	0.0236111111111111
Asgeir	24	215.348267299022	0.0700602501435491	0.104465463803086	2.30557682361451	0.0308333333333333
Asgeir	25	118.426490117222	0.0681472573472831	0.101768429190431	2.00685538491805	0.0244444444444444
Asgeir	26	126.662412490195	0.0680346517077739	0.101783111117503	2.17559512629063	0.035
Asgeir	27	121.537906414753	0.0707211400017694	0.106282928944905	2.3079963579802	0.0222222222222222
Asgeir	28	73.3688136513856	0.0692799273838029	0.104053311853815	2.14571721826014	0.0102777777777778
Asgeir	29	53.0319224210029	0.062692204950445	0.0934654631974257	1.67188956582607	0.00722222222222222
Asgeir	30	14.3077094401014	0.0598670964624787	0.0884850046671292	1.06444810820251	0
Asgeir	31	21.2380056325084	0.0497329083088822	0.073945568324378	1.17278819908067	0
Asgeir	32	266.945761789833	0.0731424761669149	0.10914418175497	2.35938522548881	0.0333333333333333
Asgeir	33	277.835158086289	0.0708315433351284	0.105769168934542	2.12967486589852	0.0341666666666667
Asgeir	34	161.344570961161	0.0673009820935666	0.100517960004396	2.09453873180113	0.0183333333333333
Asgeir	35	200.626890053668	0.077860154157828	0.116624263487118	2.54586165155486	0.0297222222222222
Asgeir	36	214.610533624722	0.0781387813277333	0.116639729635054	2.48024993878227	0.0405555555555556
Asgeir	37	185.903441402172	0.0686961627827494	0.102436547388664	2.00992089702276	0.0269444444444444
Asgeir	38	63.8957904368844	0.0647218506146352	0.0968511856712615	1.86506961047447	0.00555555555555555
Asgeir	39	93.9029460905751	0.0651890625599613	0.0974831940041067	1.8997372363759	0.0088888888888889
Asgeir	40	176.584491911221	0.0751689224002077	0.112514712593539	2.4949285396874	0.025
Asgeir	41	57.1682653719498	0.059414313312715	0.0881477692559825	1.44967732306281	0.00472222222222222
Asgeir	42	4.07071954133331	0.0480203954020291	0.0712993846026851	0.952112360295557	0
Asgeir	43	88.7878403679095	0.0629999241491884	0.0938868437946867	1.5987312952023	0.0219444444444445
Asgeir	44	87.2729464839959	0.0594903504566806	0.0880682922299448	1.44698219587011	0.00444444444444445
Asgeir	45	26.1406963569917	0.0556017905851355	0.0830557731385268	1.46004001357786	0
Asgeir	46	120.994868729584	0.0795702274509883	0.119060106020243	2.70139331602121	0.0125
Asgeir	47	107.749734535469	0.0801623416852262	0.119677092969941	2.45607253878064	0.0236111111111111
Asgeir	48	283.823906723951	0.0726200165871739	0.108396824672874	2.41115313491759	0.0194444444444444
Asgeir	49	149.342918245808	0.0663660100052098	0.0993657904755384	2.32012348112204	0.00416666666666667
Asgeir	50	96.2564736476337	0.0752238352273078	0.11239395070865	2.64064003652852	0.0088888888888889
Asgeir	51	220.371992734066	0.0624661079710104	0.0926711435767802	1.83362826959088	0.00666666666666667
Asgeir	52	228.587091010641	0.0560483434507454	0.0834728664451981	1.76415551505608	0.00555555555555556
Asgeir	53	228.541187060139	0.0581417215321225	0.0864024114142222	1.69573314367608	0.00694444444444445
Asgeir	54	93.9695475289162	0.0667559363679083	0.0991120797703302	1.80790869642266	0.00138888888888889
Asgeir	55	12.944510946389	0.0618467851656255	0.0921762257307244	1.72528717706883	0
Asgeir	56	NA	0.0689031265624561	0.10333107218164	2.42798019172012	NA
Asgeir	57	NA	0.0599285504725843	0.0891271595237288	1.69531234447601	NA
Asgeir	58	NA	0.0598734831011556	0.0894316576267316	1.70110767423643	NA
Asgeir	59	NA	0.0759143229874382	0.113378945523767	2.52672775978993	NA
