hours	Depth	vedba	jerk	Ind
1	22.6273255587983	0.134944738555514	0.284830342501903	Sung1
2	17.4303468042945	0.0455525221176682	0.104789850373471	Sung1
3	11.924236371046	0.0480656117025027	0.113144188359754	Sung1
4	9.73886441215305	0.0533084433671858	0.121983758692431	Sung1
5	9.42789236077529	0.0463433631271682	0.108322262071526	Sung1
6	21.0744426581947	0.0818639724524431	0.205063169490899	Sung1
7	31.8504227020535	0.0567685157035041	0.142505180001546	Sung1
8	13.2458425593202	0.0435929590490339	0.0935952982115022	Sung1
9	10.6749326525097	0.0383688810871355	0.0777407488236392	Sung1
10	10.0703825036817	0.040558328099199	0.0841853252204436	Sung1
11	10.3102473065793	0.0318834590701974	0.0577325296884186	Sung1
12	9.0982512799611	0.0395774823791382	0.0775769256504204	Sung1
13	6.24626966930138	0.0398177676679668	0.0757415505403468	Sung1
14	6.35464568613608	0.0357761095607635	0.071342987575907	Sung1
15	4.23701290656442	0.0341830868564291	0.0725848232766036	Sung1
16	8.980538184543	0.036539123681305	0.0741058007027257	Sung1
17	3.38258267803466	0.0161775926838315	0.0302091205687954	Sung1
18	1.73284600248223	0.0141215322855934	0.0249751162645413	Sung1
19	2.26302647220002	0.0152422021154163	0.0239590315201774	Sung1
1	42.3678927086058	0.0666193838781583	0.15651308046286	Ting1
2	61.5920912561691	0.0532235895476671	0.15517326115966	Ting1
3	34.18685583346	0.0483373470240112	0.14267451800743	Ting1
4	20.8261099005626	0.0429046816861349	0.131654889626652	Ting1
5	8.90768318533708	NA	NA	Ting1
6	15.2656791587114	NA	NA	Ting1
7	30.1391247582564	NA	NA	Ting1
8	23.5391366298016	NA	NA	Ting1
9	17.8187607547744	NA	NA	Ting1
10	13.8222513630578	NA	NA	Ting1
11	21.299957022306	NA	NA	Ting1
12	22.0816284982749	NA	NA	Ting1
13	29.3319349867757	NA	NA	Ting1
1	12.9396058409374	0.0976093545884557	0.229892656003566	Ting2
2	16.9629310022136	0.0464966311731147	0.122934099152421	Ting2
3	13.0961022657265	0.0314685601840356	0.0751321145785589	Ting2
4	11.8213768652192	0.0281235505005649	0.0715443436781322	Ting2
5	9.94445732006272	0.0365781035844308	0.0965826737016935	Ting2
6	8.9655892393322	0.0505572396170661	0.127186211665284	Ting2
7	9.97595933711105	0.0504027810274882	0.120915053119682	Ting2
8	7.9341141600684	0.0485012475706774	0.114466131609834	Ting2
9	8.73928614771138	0.0451859968715787	0.105157100754371	Ting2
10	4.54417152422774	0.0385465749390882	0.0920815220358233	Ting2
11	4.11890659844304	0.0509169046365306	0.125768499371867	Ting2
12	3.19989442031805	0.0562013563466994	0.144287911461422	Ting2
13	3.34072995927226	0.0515681998855355	0.12916906576134	Ting2
14	3.6995656175931	0.0555988112268681	0.139887423661786	Ting2
15	4.50526725254165	0.0534535696677095	0.134852202744307	Ting2
16	7.92100477184995	0.0623442761324017	0.169397692669992	Ting2
17	19.8444739306575	0.05904810524867	0.140879294249687	Ting2
18	14.2420194429587	0.0486478783246996	0.118302926134576	Ting2
19	11.6492895761166	0.0563957430816569	0.171109135936455	Ting2
20	10.6645866778922	0.0600258419365283	0.172012562867103	Ting2
21	13.2517992929236	0.0596201105277714	0.133520955623167	Ting2
22	11.3048851503376	0.063927853151813	0.158032919651996	Ting2
23	8.9132147457814	0.0653709363463597	0.163592746713288	Ting2
1	17.0026927510625	0.0613994840081864	0.157833924778469	Ting3
2	10.7928606356905	0.0672860244836878	0.167609126319437	Ting3
3	12.3567030423819	0.0608292452324914	0.174932892055482	Ting3
4	11.1555166160641	0.0629468472646664	0.176191729100986	Ting3
5	5.3302893549445	0.0693478561822618	0.176913297955705	Ting3
6	4.39057155590054	0.0729222091413607	0.185446023920931	Ting3
7	4.17449864238139	0.0712417212320833	0.195276522842531	Ting3
